#  Table /Users/hypatia/Documents/IMAGES_Kinematics/3D_HST/Imagery/Galfit/3D_U3_8493_temp.fits[1]  Fri 13:04:33 08-May-2015

# row     SMA     INTENS    INT_ERR  ELLIP ELLIP_ERR      PA  PA_ERR      X0      Y0      TFLUX_C  TMAG_E NPIX_E
#       pixel                                        degrees degrees   pixel   pixel                            

   49   49.00   -2.60E-4    2.26E-4 0.0364     -999   25.74   -999  253.00  252.00       207.62    20.6   7271
   50   50.00    6.83E-5    2.22E-4 0.0364     -999   25.74   -999  253.00  252.00       207.72    20.6   7573
   51   51.00    3.03E-4    1.87E-4 0.0364     -999   25.74   -999  253.00  252.00       207.74    20.6   7873
   52   52.00    6.79E-5    1.94E-4 0.0364     -999   25.74   -999  253.00  252.00       207.69    20.6   8193
   53   53.00   -2.40E-4    1.98E-4 0.0364     -999   25.74   -999  253.00  252.00       207.59    20.6   8503
   54   54.00   -3.06E-4    1.99E-4 0.0364     -999   25.74   -999  253.00  252.00       207.54    20.6   8827
   55   55.00   -8.18E-5    2.04E-4 0.0364     -999   25.74   -999  253.00  252.00       207.62    20.6   9163
   56   56.00    5.03E-4    1.96E-4 0.0364     -999   25.74   -999  253.00  252.00       207.76    20.6   9489
   57   57.00    3.73E-4    1.98E-4 0.0364     -999   25.74   -999  253.00  252.00       207.86    20.6   9833
   58   58.00    1.11E-4    1.92E-4 0.0364     -999   25.74   -999  253.00  252.00       207.85    20.6  10181
   59   59.00   -3.02E-5    2.18E-4 0.0364     -999   25.74   -999  253.00  252.00       207.76    20.6  10537
   60   60.00    7.90E-7    2.28E-4 0.0364     -999   25.74   -999  253.00  252.00       207.81    20.6  10911
   61   61.00    2.56E-4    1.88E-4 0.0364     -999   25.74   -999  253.00  252.00       208.02    20.6  11271
   62   62.00    3.71E-4    2.02E-4 0.0364     -999   25.74   -999  253.00  252.00       207.87    20.6  11643
   63   63.00   -2.13E-5    1.77E-4 0.0364     -999   25.74   -999  253.00  252.00       207.78    20.6  12015
   64   64.00   -1.77E-4    1.77E-4 0.0364     -999   25.74   -999  253.00  252.00       207.88    20.6  12405
   65   65.00    6.00E-6    1.89E-4 0.0364     -999   25.74   -999  253.00  252.00       208.03    20.6  12787
   66   66.00    7.57E-5    1.89E-4 0.0364     -999   25.74   -999  253.00  252.00       208.04    20.6  13187
   67   67.00    4.92E-4    1.78E-4 0.0364     -999   25.74   -999  253.00  252.00        208.2    20.6  13591
   68   68.00    4.26E-4    1.74E-4 0.0364     -999   25.74   -999  253.00  252.00       208.31    20.6  13987
   69   69.00    1.13E-4    1.71E-4 0.0364     -999   25.74   -999  253.00  252.00       208.22    20.6  14417
   70   70.00   -8.84E-5    1.65E-4 0.0364     -999   25.74   -999  253.00  252.00       208.21    20.6  14831
   71   71.00    7.29E-5    1.59E-4 0.0364     -999   25.74   -999  253.00  252.00       208.35    20.6  15259
   72   72.00    1.05E-4    1.57E-4 0.0364     -999   25.74   -999  253.00  252.00       208.39    20.6  15701
   73   73.00    4.03E-5    1.75E-4 0.0364     -999   25.74   -999  253.00  252.00       208.32    20.6  16127
